Id,Company,Primary Industry,Country,Url,Current Rank,Prior Rank,Executive1,Executive2,Earnings Per Share Growth,Cost Of Goods Sold,Current Liabilities,Total Assets,Long Term Debt,Return On Equity,Revenue,Total Company Assets,Revenue Growth,Net Income,Earnings Per Share,Total Equity,Profit Margin,Debt To Equity Ratio,Inventory Turnover
631,Sumitomo Heavy Industries Ltd.,Machinery,Japan,www.shi.co.jp,631,692,"Yoshinobu Nakamura, Chairman","Shunsuke Betsukawa, President;Chief Executive Officer",NA,,"$2,449 ","$4,095 ",151.388,9.20159,"$5,821 ","$6,503 ",5.06%,$275 ,NA,"$3,128 ",4.73%,0.05%,1298.14
632,Grupa Lotos SA,Petroleum & Coal Products,Poland,www.lotos.pl,633,516,"Pawel Olechnowicz, President;Chief Executive Officer","Marek Pawel Sokolowski, Vice President;Chief Operating Officer",NM,,"$1,386 ","$1,717 ",1138.06,-3.18786,"$5,802 ","$4,897 ",-20.32%,($67),NM,"$1,970 ",-1.16%,0.58%,826.715
633,Rexam PLC,Miscellaneous,United Kingdom,www.rexam.com,632,653,"Mr. Graham Chipchase, Chief Executive Officer","Mr. David Robbie, Director",-46.46%,NA,"$1,996 ","$1,947 ",1642,12.8713,"$5,816 ","$7,191 ",2.43%,$269 ,($46.46),"$2,082 ",4.64%,0.79%,797.287
634,TBEA Co. Ltd.,Electrical Equipment & Appliances,China,www.tbea.com.cn,635,670,"Ye Jun, General Manager","Hu Youcheng, Deputy General Manager",10.99%,,"$5,466 ","$6,720 ",1223.66,9.65624,"$5,766 ","$10,818 ",3.82%,$290 ,$10.99 ,"$3,217 ",5.04%,0.38%,1572.53
635,Delek US Holdings Inc.,Petroleum & Coal Products,United States,www.Delekus.com,636,505,"Mr. Anthony L. Miller, Executive Vice President","Mr. Mark B. Cox, Executive Vice President;Chief Financial Officer",-90.45%,,$759 ,$988 ,880.5,1.93671,"$5,762 ","$3,324 ",-30.78%,$19 ,($90.45),"$1,153 ",0.34%,0.76%,307.6
636,Wacker Chemie AG,Chemicals,Germany,www.wacker.com,634,674,"Dr. Tobias Ohler, Executive Board Member","Dr. Joachim Rauhut, Executive Member",21.22%,,"$1,260 ","$2,145 ",,12.8329,"$5,768 ","$7,912 ",9.73%,$268 ,$21.22 ,"$2,797 ",4.66%,NA,855.248
637,Renesas Electronics Corp,Computers & Other Electronic Products,Japan,www.japan.renesas.com,637,603,"Tetsuya Tsurumaru, Chairman","Bunsai Kure, President;Chief Executive Officer",NA,,"$1,649 ","$5,082 ",1776.1,27.8785,"$5,759 ","$7,055 ",-12.36%,$716 ,NA,"$3,152 ",12.45%,0.56%,900.102
638,Packaging Corp. of America,Paper,United States,www.packagingcorp.com,638,667,"Mr. Mark W. Kowlzan, Chairman;Chief Executive Officer","Mr. Robert P. Mundy, Chief Financial Officer;Senior Vice President",12.03%,,$561 ,"$1,554 ",2324.3,28.7104,"$5,741 ","$5,284 ",-1.89%,$436 ,$12.03 ,"$1,633 ",7.61%,1.42%,676.8
639,Ford Otomotiv Sanayi AS,Motor Vehicles,Turkey,www.ford.com.tr,639,748,"Mehmet Barmanbek, Dep. Gen. Mgr., Fin. Admin.","Turgay Durak, Dep. Gen. Mgr., Prod.",41.18%,,"$1,308 ","$1,379 ",445.39,30.5685,"$5,732 ","$2,885 ",40.43%,$288 ,$41.18 ,"$1,201 ",5.03%,0.37%,342.39
640,Chemours Co.,Chemicals,United States,,641,NA,"Mr. Richard H. Brown, Chairman","Mr. Mark P. Vergnano, President;Chief Executive Officer",NA,,"$1,466 ","$2,301 ",3915,-2.45298,"$5,717 ","$6,298 ",-11.12%,($90),NA,$126 ,-1.57%,31.07%,972
641,Hanesbrands Inc.,Textiles,United States,www.Hanes.com,640,720,"Mr. Richard A. Noll, Chairman","Mr. Michael E. Faircloth, President;Chief Global Operations",-19.90%,,"$1,503 ","$2,917 ",2254.16,30.9247,"$5,731 ","$5,619 ",7.64%,$428 ,($19.90),"$1,275 ",7.48%,1.77%,1814.6
642,"Mexichen, SA de CV",Chemicals,Mexico,www.mexichem.com,642,688,"Antonio Del Valle Ruiz, Honorary Chairman","Mr. Juan Pablo del Valle Perochena, MBA, Chairman",NA,,"$1,818 ","$2,251 ",2408.18,4.43758,"$5,708 ","$8,669 ",2.25%,$135 ,NA,"$2,902 ",2.37%,0.83%,647.984
643,Zhongjin Gold Co. Ltd.,Primary Metals,China,www.zjgold.com,643,708,"Wang Jinding, General Manager","Li Yueqing, Deputy General Manager;Secretary",NA,,"$2,506 ","$2,087 ",1150.55,0.86974,"$5,706 ","$5,664 ",10.47%,$13 ,NA,"$1,519 ",0.23%,0.76%,1200.19
644,DS Smith PLC,Paper,United Kingdom,www.dssmith.com,647,625,"Miles Roberts, Chief Executive Officer","Matthew Jowett, Secretary;General Counsel",10.07%,,"$1,713 ","$1,477 ",1157.4,13.7809,"$5,661 ","$4,891 ",-5.33%,$231 ,$10.07 ,"$1,510 ",4.08%,0.77%,379.378
645,Celanese Corp.,Chemicals,United States,www.celanese.com,646,590,"Mr. Kevin S. Oliver, Chief Accounting Officer;Controller","Mr. Curtis S. Shaw, Executive Vice President;Corporate Secretary",-50%,,"$1,550 ","$2,787 ",2468,10.7878,"$5,674 ","$8,586 ",-16.58%,$304 ,($50.00),"$2,378 ",5.36%,1.04%,682
646,Motorola Solutions Inc.,Communications Equipment,United States,www.motorolasolutions.com,645,665,"Mr. Gregory Q. Brown, Chairman;President","Mr. Gino A. Bonanotte, Executive Vice President",-42.91%,,"$2,193 ","$4,582 ",4386,NM,"$5,695 ","$8,387 ",-3.16%,$610 ,($42.91),($106),10.71%,NM,296
647,Mattel Inc.,Miscellaneous,United States,www.mattel.com,644,648,"Mr. Geoffrey H. Walker, Executive Vice President;Chief Strategic Officer","Mr. Richard Dickson, President;Chief Operating Officer",-25.52%,,"$1,645 ","$3,196 ",1800,12.5265,"$5,702 ","$6,552 ",-5.33%,$369 ,($25.52),"$2,633 ",6.48%,0.68%,587.521
648,Clorox Co.,Chemicals,United States,www.thecloroxcompany.com,648,693,"Mr. George J. Harad, Chairman","Mr. Benno O. Dorer, Chief Executive Officer",3.31%,,"$1,405 ","$1,429 ",1796,376.623,"$5,655 ","$4,164 ",1.14%,$580 ,$3.31 ,$118 ,10.26%,15.22%,385
649,Rheinmetall AG,Machinery,Germany,www.rheinmetall.com,649,661,"Mr. Armin Papperger, Chairman;Chief Executive Officer","Helmut P. Merch, Chief Financial Officer;Executive Board Member",725.53%,NA,"$2,227 ","$3,356 ",826.711,13.4942,"$5,644 ","$6,241 ",7.64%,$164 ,$725.53 ,"$1,625 ",2.91%,0.51%,1117.53
650,Fujikura Ltd.,Communications Equipment,Japan,www.fujikura.co.jp,651,696,"Yoichi Nagahama, Chairman","Masahiko Ito, President",NA,,"$1,677 ","$2,346 ",924.716,5.17751,"$5,636 ","$4,591 ",2.57%,$94 ,NA,"$1,649 ",1.67%,0.56%,658.475
651,Celestica Inc.,Computers & Other Electronic Products,Canada,www.celestica.com,650,685,"Mr. William A. Etherington, Chairman","Mr. Robert A. Mionis, President;Chief Executive Officer",-30%,,"$1,133 ","$2,124 ",,4.79604,"$5,639 ","$2,612 ",0.14%,$66 ,($30.00),"$1,091 ",1.19%,NA,794.6
652,Constellium NV,Primary Metals,Netherlands,www.constellium.com,653,813,"Mr. Pierre Vareille, Chief Executive Officer","Mr. Didier Fontaine, Chief Financial Officer",-1197.92%,,"$1,299 ","$1,578 ",2248.13,NM,"$5,612 ","$3,951 ",40.56%,($603),"($1,197.92)",($600),-10.75%,NM,590.352
653,Ingredion Inc.,Food,United States,www.ingredion.com,652,679,"Ms. Ilene S. Gordon, Chairman;President","Mr. Jack C. Fortnum, Executive Vice President",16.24%,,$742 ,"$1,950 ",1819,18.4658,"$5,621 ","$5,074 ",-0.83%,$402 ,$16.24 ,"$2,144 ",7.15%,0.85%,715
654,Yanzhou Coal Mining Co. Ltd.,Petroleum & Coal Products,China,www.yanzhoucoal.com.cn,654,434,"Weimin Li, MBA, Chairman","Xin Wang, MBA, Vice-Chairman;Legal Representative",-81.25%,,"$6,475 ","$7,515 ",7017.68,0.398715,"$5,605 ","$21,937 ",-39.70%,$25 ,($81.25),"$6,471 ",0.45%,1.08%,285.214
655,Amphenol Corp.,Computers & Other Electronic Products,United States,www.amphenol.com,655,718,"Mr. Richard Adam Norwitt, President;Chief Executive Officer","Mr. Gary A. Anderson, Senior Vice President;Division Officer",9.05%,,"$1,008 ","$3,850 ",2813.2,26.2606,"$5,568 ","$7,458 ",4.18%,$763 ,$9.05 ,"$3,238 ",13.71%,0.87%,851.8
656,SanDisk Corp.,Computers & Other Electronic Products,United States,www.sandisk.com,656,604,"Stephen D. Milligan, Chief Executive Officer","Michael D. Cordano, President;Chief Operating Officer",-56.97%,,"$2,003 ","$5,659 ",1237.78,5.9509,"$5,564 ","$9,230 ",-16.04%,$388 ,($56.97),"$5,738 ",6.98%,0.22%,809.395
657,Dongfang Electric Corp. Ltd.,Machinery,China,www.dec-ltd.cn,658,624,"Wen Shugang, President","Zhang Zhiying, Executive Vice President;Standing Vice President",-67.80%,,"$9,158 ","$11,387 ",110.681,2.24657,"$5,545 ","$13,262 ",-7.73%,$67 ,($67.80),"$3,549 ",1.22%,0.03%,4141.88
658,NetApp Inc.,Computers & Other Electronic Products,United States,www.netapp.com,657,638,"Mr. T. Michael Nevens, Chairman","Mr. Thomas F. Mendoza, Vice-Chairman",-56%,,"$3,662 ","$6,448 ",1490,6.70748,"$5,546 ","$10,037 ",-9.42%,$229 ,($56.00),"$2,881 ",4.13%,0.52%,98
659,St. Jude Medical Inc.,Medical Instruments & Equipment,United States,www.sjm.com,659,689,"Mr. Daniel J. Starks, Chairman",Mr. Michael T. Rousseau,-11.27%,,"$2,473 ","$3,265 ",5229,20.9574,"$5,541 ","$13,064 ",-1.44%,$880 ,($11.27),"$4,042 ",15.88%,1.29%,909
660,Tokyo Electron Ltd.,Computers & Other Electronic Products,Japan,www.tel.co.jp,661,732,"Tetsuo Tsuneishi, Chairman","Toshiki Kawai, President;Chief Executive Officer",14.96%,,"$1,379 ","$5,128 ",,12.1533,"$5,515 ","$6,590 ",8.29%,$647 ,$14.96 ,"$4,685 ",11.73%,NA,1620.52
661,Lao Feng Xiang Co. Ltd.,Apparel,China,www.chinafirstpencil.com,662,722,"Huang Hua, Chief Financial Officer;Deputy General Manager","Li Gangchang, Deputy General Manager",18.88%,,$920 ,"$1,590 ",,28.3157,"$5,498 ","$1,779 ",8.76%,$172 ,$18.88 ,$699 ,3.13%,NA,756.673
662,Sika Finanz AG,Chemicals,Switzerland,www.sika.com,660,684,"Jan Jenisch, Chief Executive Officer","Silvio Ponti, Deputy Chief Executive",4.72%,,"$1,171 ","$2,797 ",703.251,19.4457,"$5,527 ","$4,958 ",-1.47%,$463 ,$4.72 ,"$2,548 ",8.39%,0.28%,588.962
663,Air Water Inc.,Chemicals,Japan,www.awi.co.jp,664,697,"Masahiro Toyoda, Chairman;Chief Executive Officer","Yasuo Imai, President;Chief Operating Officer",-2.86%,,"$1,553 ","$2,011 ",911.367,8.88116,"$5,487 ","$4,783 ",0.01%,$167 ,($2.86),"$1,953 ",3.05%,0.47%,365.153
664,Oil Refineries Ltd,Petroleum & Coal Products,Israel,www.orl.co.il,663,438,"Yashar Ben Mordechai, Chief Executive Officer","Igal Salhov, Chief Financial Officer",NM,,"$1,032 ","$1,143 ",1461.92,34.3386,"$5,490 ","$3,499 ",-41.13%,$224 ,NM,$873 ,4.09%,1.67%,432.291
665,Wartsila Corp.,Machinery,Finland,www.wartsila.com,665,687,"Ole Johansson, President;Chief Executive Officer","Raimo Lind, Executive Vice President;Deputy President",27.84%,,"$2,687 ","$3,675 ",535.892,22.6531,"$5,474 ","$6,087 ",8.53%,$483 ,$27.84 ,"$2,397 ",8.83%,0.22%,1307.05
666,CSL Ltd.,Pharmaceuticals,Australia,www.csl.com.au,667,698,"Mr. Paul Perreault, Chief Executive Officer;Managing Director","Gordon Naylor, MBA, Chief Financial Officer",8.29%,,$936 ,"$3,339 ",2277.7,43.6116,"$5,458 ","$6,401 ",2.32%,"$1,379 ",$8.29 ,"$2,746 ",25.26%,0.83%,1755.6
667,Compagnie Plastic Omnium,Motor Vehicle Parts,France,www.plasticomnium.com,668,711,"Laurent Burelle, Chief Executive Officer","Paul Henry Lemarie, Deputy Managing Director",15.44%,,"$1,821 ","$2,027 ",1003.32,24.5081,"$5,456 ","$4,456 ",12.91%,$281 ,$15.44 ,"$1,379 ",5.16%,0.73%,378.406
668,Burelle SA,Plastics,France,www.burelle.fr,666,631,"Jean Burelle, Chief Executive Officer","Laurent Burelle, Deputy Managing Director",11.60%,,"$1,833 ","$2,101 ",1037.96,20.6832,"$5,459 ","$4,636 ",12.90%,$163 ,$11.60 ,$941 ,2.99%,1.10%,378.406
669,CVR Energy Inc.,Petroleum & Coal Products,United States,www.cvrenergy.com,669,467,"Mr. Carl C. Icahn, Chairman","Mr. John J. Lipinski, President",-2.50%,,$484 ,"$1,274 ",546.9,17.1643,"$5,432 ","$3,305 ",-40.36%,$169 ,($2.50),$984 ,3.12%,0.56%,289.9
670,Israel Chemicals Ltd.,Chemicals,Israel,www.icl-group.com,670,636,"Mr. Stefan Borgas, Chief Executive Officer","Avi Doitchman, Executive Vice President;Chief Financial Officer",9.59%,,"$2,046 ","$2,985 ",2805,17.1166,"$5,405 ","$9,077 ",-11.55%,$509 ,$9.59 ,"$3,028 ",9.42%,0.93%,1364
671,Sappi Ltd.,Paper,South Africa,www.sappi.com,672,645,"Roeloff Jacobus Boettger, Chief Executive Officer","Mr. Mark Richard Thompson, LLB, Chief Financial Officer",19.23%,,"$1,091 ","$1,711 ",2031,15.9962,"$5,390 ","$4,913 ",-11.07%,$167 ,$19.23 ,"$1,015 ",3.10%,2.00%,595
672,Zodiac Aerospace,Aerospace & Defense,France,www.zodiacaerospace.com,671,735,"Olivier Zarrouati, Chief Executive Officer","Maurice Pinault, Deputy Chief Executive",-48.05%,,"$1,955 ","$2,926 ",905.84,7.21221,"$5,397 ","$6,444 ",18.20%,$201 ,($48.05),"$3,272 ",3.73%,0.28%,1460.31
673,Kunlun Energy Co. Ltd.,Petroleum & Coal Products,Hong Kong Special Administrative Region of China,www.kunlun.com.hk,674,622,"Mr. Hualin Li, MBA, Chairman","Mr. Bowen Zhang, President",-97.55%,NA,"$2,611 ","$2,381 ",2062.2,0.259038,"$5,372 ","$13,944 ",-13.33%,$17 ,($97.55),"$6,337 ",0.33%,0.33%,118.179
674,Ashland Inc.,Petroleum & Coal Products,United States,www.ashland.com,673,639,"Mr. William A. Wulfsohn, Chairman;Chief Executive Officer","Mr. J. Kevin Willis, Senior Vice President;Chief Financial Officer",49.33%,,"$1,448 ","$3,248 ",3348,8.62406,"$5,387 ","$10,064 ",-11.99%,$309 ,$49.33 ,"$3,037 ",5.74%,1.10%,706
675,PTT Exploration & Production PCL,Petroleum & Coal Products,Thailand,www.pttep.com,675,584,"Anon Sirisaengtaksin, President;Chief Executive Officer","Mr. Somkiet Janmaha, Executive Vice President",NA,NA,"$1,410 ","$4,708 ",3010.12,-7.63757,"$5,364 ","$19,674 ",-25.75%,($876),NA,"$11,346 ",-16.35%,0.27%,452.216
676,Taiyo Nippon Sanso Corp.,Chemicals,Japan,www.tn-sanso.co.jp,678,830,"Shotaro Yoshimura, Chairman","Kunishi Hazama, Vice-Chairman",NA,,"$1,778 ","$2,175 ",1433.66,8.14673,"$5,329 ","$6,506 ",14.68%,$214 ,NA,"$2,603 ",4.03%,0.55%,441.188
677,NHK Spring Co. Ltd.,Fabricated Metal Products,Japan,www.nhkspg.co.jp,679,739,"Kazumi Tamamura, President","Takao Itoi, Executive Vice President",-11.13%,,"$1,448 ","$2,299 ",234.134,8.2207,"$5,320 ","$4,235 ",6.50%,$179 ,($11.13),"$2,136 ",3.37%,0.11%,359.571
678,Ube Industries Ltd.,Chemicals,Japan,www.ube-ind.co.jp,677,705,"Michio Takeshita, Chairman","Yuzuru Yamamoto, President",30.41%,,"$1,937 ","$2,300 ",1004.07,7.24198,"$5,331 ","$5,646 ",0.00%,$158 ,$30.41 ,"$2,219 ",2.98%,0.45%,632.025
679,Owens Corning,"Stone, Clay, Glass & Concrete Products",United States,www.owenscorning.com,676,724,"Ms. Ava Harter, Senior Vice President;General Counsel","Mr. David L. Johns, Senior Vice President",46.07%,,"$1,117 ","$1,538 ",1702,8.93824,"$5,350 ","$7,380 ",1.40%,$330 ,$46.07 ,"$3,739 ",6.17%,0.46%,644
680,Nippon Suisan Kaisha Ltd.,Food,Japan,www.nissui.co.jp,681,716,"Norio Hosomi, President;Chief Executive Officer","Kunihiko Koike, Senior Managing Director;Chief Financial Officer",NA,,"$1,763 ","$1,806 ",799.845,14.0509,"$5,292 ","$3,689 ",-0.20%,$99 ,NA,$745 ,1.88%,1.07%,921.418
681,AVIC International Holdings Ltd.,Electronic/Electric Equip.,China,www.avic161.com,682,NA,"Mr. Guang Quan Wu, Chairman","Mr. Lei You, Vice-Chairman",85.11%,,"$4,196 ","$5,236 ",1573.82,12.5993,"$5,289 ","$9,950 ",-0.22%,$186 ,$85.11 ,"$1,776 ",3.53%,0.89%,892.243
682,Aercap Holdings NV,"Railcars, Ships, & Other Trans. Equip.",Ireland,www.aercap.com,683,948,"Aengus Kelly, Chief Executive Officer","Wouter (Erwin) den Dikken, Chief Operating Officer;Chief Legal Officer",25.99%,,"$5,316 ","$6,229 ",29806.8,14.9894,"$5,287 ","$43,914 ",45.25%,"$1,178 ",$25.99 ,"$8,348 ",22.29%,3.57%,NA
683,Hermes International SCA,Apparel,France,www.hermes-international.com,684,795,"Henri-Louis Bauer, Chairman","Patrick Thomas, Chairman",13.06%,,"$1,260 ","$3,371 ",12.417,28.2003,"$5,272 ","$5,650 ",17.54%,"$1,059 ",$13.06 ,"$4,075 ",20.09%,0.00%,1033.88
684,Domtar Corp.,Paper,United States,www.domtar.com,685,694,"Mr. Harold H. MacKay, Chairman","Mr. John D. Williams, President;Chief Executive Officer",-66.27%,,$788 ,"$1,554 ",1219,4.91349,"$5,264 ","$5,663 ",-5.37%,$142 ,($66.27),"$2,652 ",2.70%,0.46%,766
685,Lam Research Corp.,Computers & Other Electronic Products,United States,www.lamresearch.com,686,790,"Mr. Stephen G. Newberry, Chairman","Mr. Martin B. Anstice, President;Chief Executive Officer",2.21%,,"$2,631 ","$6,270 ",1001.38,13.034,"$5,259 ","$9,364 ",14.15%,$655 ,$2.21 ,"$5,344 ",12.47%,0.19%,943.346
686,S&P Global Inc.,Publishing & Printing,United States,www.spglobal.com,680,737,"Mr. Douglas L. Peterson, President;Chief Executive Officer","Mr. Robert J. MacKay, Interim Chief Financial Officer;Senior VP",NM,,"$2,908 ","$3,296 ",3468,236.885,"$5,313 ","$8,183 ",5.19%,"$1,156 ",NM,$194 ,21.76%,17.88%,NA
687,Beiqi Foton Motor Co. Ltd.,Motor Vehicle Parts,China,www.foton.com.cn,689,704,"Wang Jinyu, General Manager","Yang Gongshe, Chief Financial Officer",-23.53%,,"$3,199 ","$2,563 ",351.06,2.6586,"$5,234 ","$6,582 ",0.91%,$62 ,($23.53),"$2,854 ",1.20%,0.12%,317.095
688,Samsung Electro-Mechanics Co. Ltd.,Computers & Other Electronic Products,Korea,www.sem.samsung.co.kr,687,541,"Jong-Woo Park, Ph.D., Chief Executive Officer;President","Byeong-Cheon Koh, Ph.D., Vice President",-97.75%,,"$1,502 ","$2,320 ",864.077,0.245716,"$5,249 ","$6,178 ",-13.54%,$9 ,($97.75),"$3,588 ",0.18%,0.24%,577.096
689,Rockwell Collins Inc.,Communications Equipment,United States,www.rockwellcollins.com,688,747,"Mr. Donald R. Beall, Chairman Emeritus","Mr. Robert K. Ortberg, President;Chief Executive Officer",16.06%,,"$2,144 ","$3,233 ",1680,36.4119,"$5,244 ","$7,389 ",5.32%,$686 ,$16.06 ,"$1,875 ",13.08%,0.90%,1824
690,Yokohama Rubber Co. Ltd.,Rubber Products,Japan,www.yrc.co.jp,691,725,"Tadanobu Nagumo, Chairman","Hikomitsu Noji, President",NA,,"$1,867 ","$2,696 ",789.253,11.2212,"$5,232 ","$5,903 ",0.74%,$301 ,NA,"$2,815 ",5.76%,0.28%,829.791
691,Spectra Energy Corp.,Petroleum & Coal Products,United States,www.spectraenergy.com,690,662,"Mr. Gregory L. Ebel, President;Chief Executive Officer","Ms. Patricia M. Rice, Vice President;Secretary",-81.99%,,"$3,392 ","$1,648 ",12892,2.40196,"$5,234 ","$32,923 ",-11.33%,$196 ,($81.99),"$6,526 ",3.74%,1.98%,307
692,Nippon Sheet Glass Co. Ltd.,"Stone, Clay, Glass & Concrete Products",Japan,www.nsg.co.jp,692,710,"Shigeki Mori, President;Chief Executive Officer","Clemens Miller, Executive Vice President;Chief Operating Officer",-3098.91%,,"$2,375 ","$1,999 ",2403.39,-27.0276,"$5,226 ","$6,746 ",0.39%,($394),"($3,098.91)",$930 ,-7.55%,2.58%,904.322
693,SEB SA,Electrical Equipment & Appliances,France,www.groupeseb.com,693,734,"Mr. Thierry de La Tour d'Artaise, Chairman;Chief Executive Officer","Mr. Stephane Lafleche, Senior Executive Vice President",20%,,"$1,872 ","$3,161 ",770.072,13.2753,"$5,195 ","$5,048 ",12.15%,$224 ,$20.00 ,"$1,859 ",4.32%,0.41%,894.133
694,Fanuc Corp.,Machinery,Japan,www.fanuc.co.jp,694,641,"Yoshiharu Inaba, Chairman;Chief Executive Officer","Kenji Yamaguchi, President;Chief Operating Officer",NA,,$881 ,"$8,911 ",,11.5794,"$5,178 ","$12,567 ",-14.57%,"$1,326 ",NA,"$11,035 ",25.62%,NA,856.175
695,CVR Refining LP,Petroleum & Coal Products,United States,www.cvrrefining.com,695,478,"Mr. Carl C. Icahn, Chairman","Mr. John J. Lipinski, President;Chief Executive Officer",-18.93%,,$331 ,$629 ,578.4,NA,"$5,161 ","$2,195 ",-41.54%,$291 ,($18.93),NA,5.64%,NA,252.5
696,C.P. Pokphand Co. Ltd.,Food,Hong Kong Special Administrative Region of China,www.cpp.hk,697,680,"Mr. Sumet Jiaravanon, Chairman","Mr. Dhanin Chearavanont, Chairman",10523.70%,,"$1,111 ","$1,602 ",620.107,22.7022,"$5,129 ","$3,127 ",-8.71%,$267 ,"$10,523.70 ","$1,085 ",5.22%,0.57%,494.676
697,"Kweichow Moutai Co., Ltd.",Beverages,China,www.moutaichina.com,696,727,"Zhang Yi, Supervisor","Fan Ningping, Board Secretary",-8.18%,,"$3,087 ","$10,009 ",,29.0155,"$5,149 ","$13,288 ",3.82%,"$2,387 ",($8.18),"$9,843 ",46.35%,NA,2773.61
698,KGHM Polska Miedz SA,Primary Metals,Poland,www.kghm.pl,699,709,"Herbert Wirth, President","Maciej Tybura, First Vice President",-304.57%,,"$1,583 ","$1,613 ",1244.23,-19.8087,"$5,111 ","$9,392 ",-2.36%,"($1,280)",($304.57),"$5,163 ",-25.05%,0.24%,864.063
699,Iwatani Corp.,Machinery,Japan,www.iwatani.co.jp,698,664,"Akiji Makino, Chairman;Chief Executive Officer","Toshio Watanabe, Vice-Chairman",NA,,"$1,432 ","$1,461 ",745.325,11.3434,"$5,118 ","$3,360 ",-10.94%,$102 ,NA,$953 ,2.01%,0.78%,279.615
700,PT Gudang Garam TBK,Tobacco,Indonesia,www.gudanggaramtbk.com,700,811,"Mrs. Juni Setiawati Wonowidjojo, President",,19.89%,,"$1,741 ","$3,083 ",,19.447,"$5,096 ","$4,599 ",7.95%,$466 ,$19.89 ,"$2,744 ",9.15%,NA,2698.32
701,Minebea Co. Ltd.,Fabricated Metal Products,Japan,www.minebea.co.jp,703,NA,"Yoshihisa Kainuma, President","Hirotaka Fujita, Senior Managing Director",-8.85%,,"$1,374 ","$2,075 ",330.704,16.0811,"$5,065 ","$3,816 ",21.80%,$302 ,($8.85),"$1,918 ",5.97%,0.17%,855.701
702,Grupo Carso SA de CV,Tobacco,Mexico,www.gcarso.com.mx,702,690,"Carlos Slim Domit, Chairman",,NA,,"$1,259 ","$2,837 ",287.812,11.7164,"$5,078 ","$5,421 ",7.08%,$356 ,NA,"$3,172 ",7.02%,0.09%,795.452
703,Harris Corp.,Communications Equipment,United States,www.harris.com,701,742,"Mr. William M. Brown, Chairman;President","Mr. Robert L. Duffy, Senior Vice President",-37.17%,,"$2,281 ","$3,524 ",5053,18.2913,"$5,083 ","$13,129 ",1.42%,$334 ,($37.17),"$3,397 ",6.57%,1.49%,1015
704,Southern Copper Corp.,Primary Metals,United States,www.southerncoppercorp.com,704,672,"Mr. German Larrea Mota Velasco, Chairman;Subsidiary Officer","Mr. Oscar Gonzalez Rocha, President;Chief Executive Officer",-42.24%,,$920 ,"$2,484 ",5951.5,12.6868,"$5,045 ","$12,593 ",-12.82%,$736 ,($42.24),"$5,262 ",14.59%,1.13%,857.2
705,Techtronic Industries Co. Ltd.,Miscellaneous,Hong Kong Special Administrative Region of China,www.ttigroup.com,705,766,"Mr. Horst Julius Pudwill, Chairman","Dr. Roy Chi Ping Chung, Vice-Chairman",18.12%,,"$2,069 ","$2,993 ",467.02,18.0028,"$5,038 ","$4,802 ",6.00%,$354 ,$18.12 ,"$2,155 ",7.03%,0.22%,1190.33
706,GEA Group AG,Miscellaneous,Germany,www.gea.com,707,714,"Juerg Oleas, Chairman","Dr. Helmut Schmale, Chief Financial Officer",13.25%,,"$2,183 ","$3,537 ",,14.3216,"$5,009 ","$6,667 ",1.85%,$394 ,$13.25 ,"$3,097 ",7.87%,NA,597.566
707,Morinaga Milk Industry Co. Ltd.,Food,Japan,www.morinagamilk.co.jp,708,746,"Michio Miyahara, President","Junichi Noguchi, Executive Vice President",153.84%,,"$1,227 ","$1,036 ",665.943,8.50708,"$4,996 ","$3,147 ",1.12%,$87 ,$153.84 ,"$1,066 ",1.76%,0.62%,434.866
708,Sonoco Products Co.,Paper,United States,www.sonoco.com,709,741,"Mr. Harris E. DeLoach, Jr., Chairman","Mr. Mancil Jack Sanders, President",5.17%,,$922 ,"$1,307 ",1021.85,16.5969,"$4,964 ","$4,020 ",-1.00%,$250 ,$5.17 ,"$1,512 ",5.04%,0.68%,385.483
